tll_id,tll_name,tll_brand,tll_category,historical_map_status,historical_shopify_product_id,historical_shopify_variant_id,supplier_sku,supplier_feed_name,supplier_feed_size,supplier_feed_barcode,supplier_feed_tax_flag,historical_retail_gbp,supplier_feed_price_gbp,supplier_nutrition_text_present,review_flags
0a327a09-db76-483e-88ca-b55aacf3d53f,Protein Flapjack (Cocoa Oat),Trek,protein-bar,MAPPED_2026-09-14_UNVERIFIED,16037754241354,63535202697546,TRE003,TREK Protein Flapjack 16x50g Cocoa & Oat,16x50g,05060088702314,VAT,1.2,13.33,YES,MULTIPACK_SUPPLIER_UNIT|LIVE_SHOPIFY_AND_EXACT_LABEL_NOT_VERIFIED
0aa95107-59ac-4c3c-bec9-afc1b10efcb8,Quest Bar (Chocolate Chip Cookie Dough),Quest Nutrition,protein-bar,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
0b2a6a88-ceaf-4c02-ad40-715d06691118,Creatine Monohydrate,Warrior,creatine,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
0cb62204-f9ed-489b-bb26-48220f101359,After Dark Protein,Bio-Synergy,casein,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
1245c55c-7cb2-49ba-9a78-591ec762c785,Extreme Recovery Blend,MyProtein,post-workout,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
13f50539-fa84-41d7-855f-746640b61ddf,Vitamin C 1000mg,Bulk,vitamin-c,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
15db1405-3468-4a8d-b391-d256a0c13d99,Gold Standard 100% Whey,Optimum Nutrition,whey,MAPPED_2026-09-14_UNVERIFIED,16033577828682,63506308464970,OPT296,Optimum Nutrition Gold Standard 100% Whey 775g Double Rich Chocolate,775g,5060751998525,VAT,54.99,34.41,NO,MISSING_FEED_NUTRITION_TEXT|LIVE_SHOPIFY_AND_EXACT_LABEL_NOT_VERIFIED
163558b4-1ec5-4546-835d-435f42a88dc8,Trust Crunch (Chocolate Peanut),USN,protein-bar,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
17218104-2c4d-4c5b-864d-846427626503,Vitamin & Protein Bar (Dark Choc Salted Caramel),Fulfil Nutrition,protein-bar,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
1856438d-d5cd-4151-97d5-f5cc379eab80,Omega-3 Fish Oil,Bulk,omega-3,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
