id,name,brand,category,serving_size,serving_unit,servings_per_container
7f6fe4fe-ec51-42b5-86c7-aad0d1580aac,Whey Protein 80,The Protein Works,whey,30,scoop,33
810b5c13-062e-4c50-9033-0fdda083c3b1,TUDCA + NAC,Supplement Needs,cycle-support,3,capsule,30
836e9ca3-a02a-4513-b63a-546fd25ea518,Whey Protein Concentrate,Supplement Needs,whey,30,scoop,33
83dbbce5-d74e-402c-9f69-274c2330d7c7,100% Micellar Casein,The Protein Works (TPW),casein,30,scoop,33
84a0a5f5-dd3b-485a-a88e-e201529c2b75,Bifido & Fibre,Optibac,gut-digestion,1,sachet,30
851dc8e1-85a5-48a1-876d-3c8125499e1b,Digestive Enzyme Capsules,MyProtein,gut-digestion,2,capsules,30
87467312-0a01-4f48-9022-184c8a8e705c,Platinum Creatine Plus,Optimum Nutrition,creatine,7,g,50
8900fc28-fd3f-4338-9dfe-2257631c2931,PRE V4,Darkstims,pre-workout,20,g,25
89c2d3ae-d1cb-445f-a7c8-b84bc2c5f6e5,Complete Intra-Workout,Bulk,intra-workout,15,scoop,30
8a094502-214c-4d47-8011-a812f4232d19,Vitamin D3 4000 IU Spray,BetterYou,vitamin-d,1,spray,100
8aaa999c-cefb-41b0-ae3c-8cc14513ee55,Everyday Gut (Original),Bio-Kult,gut-digestion,1,capsule,60
8b197150-797e-4590-abb3-19b6b395e174,Plenny Drink (Vanilla),Jimmy Joy,meal-replacement,330,bottle,1
8b95c03d-709f-466e-a80c-6b7a13688118,Magnesium Glycinate,SuperDosed,vitamin,null,serving,null
8ddfc493-0872-4235-ba25-5091ef172b49,Crunch Bar (White Chocolate Crisp),Warrior,protein-bar,64,bar,1
90355b09-21f1-4804-801b-38a9518142ba,Digestive Enzyme Capsules,Applied Nutrition,gut-digestion,1,capsule,60
90eebf47-deac-4569-88d2-eb57ff598c43,100% Whey Isolate,PhD Nutrition,whey-isolate,30,scoop,33
943638a7-3c67-4c92-900c-ab0bfa9d7a60,Pre-Workout,Grenade,pre-workout,16.5,g,20
95bf0295-4ce4-4648-8d88-8ec74bda9263,Alpha Lipoic Acid 300mg,Bulk,liver-health,1,capsule,90
97f6e3fe-3b27-44c4-a06a-3cbd0db41ad7,Amino,Naughty Boy,eaas,11.5,scoop,30
984b410e-6f6c-40cf-82da-93326f4c6465,ABE All Black Everything Pre-Workout,Applied Nutrition,pre-workout,12.5,g,30
99e438ca-067d-40c5-81f7-f1a26827551a,Pure Creatine Monohydrate Powder,Nutrition Geeks,creatine,3.5,g,90
99ec3375-b400-402d-b0a9-c89ad219cc7e,Clear Whey Isolate,Warrior,whey-isolate,25,scoop,20
9b3cc560-40d4-4c70-b1d4-cbbbf5edc63b,NEUPHORIC,The Formula,pre-workout,null,scoop,40
9bd730b4-56ca-4545-bb05-69ed6d48ffb9,Protein Bar (Cookies & Cream),Barebells,protein-bar,55,bar,1
9c77db07-1b5d-4afc-8f86-db826f2b7971,Iso-Pro,Trained by JP (TBJP),whey-isolate,30,scoop,66
9d3105e7-1760-4da8-ad22-f432114b3ea7,100% Whey,Reflex Nutrition,whey,30,scoop,66
a0fc6933-db03-4c34-a446-a9f89515a206,Per4m Isolate,Per4m,whey-isolate,30,scoop,30
a15a46ba-b1e9-4c6f-b84c-1ca5302a0b44,Plant Sterols,Bulk,heart-health,1,tablet,60
a26b7a7a-348a-461f-8372-a40e234f4d92,Impact EAA,MyProtein,eaas,9,scoop,27
a3483e0b-65f4-4b68-b2aa-0a81efbbb800,CNP EAA,CNP Professional,eaas,10,scoop,30
a3f45925-cabd-4a7b-bca8-837824a3f891,Pro Creatine,CNP,creatine,5,g,50
a925a399-982a-4155-89d5-aee874046618,Protein Crunch Bar (Chocolate Caramel),Applied Nutrition,protein-bar,62,bar,1
aac47241-0918-455d-bbc6-855aec480bc6,Origin Pump Pre-Workout | Stim & Caffeine-Free,MyProtein,pre-workout,25,g,30
aae3c686-cf5a-4ebb-91b4-4c8865b2e6fa,ZMAX,Strom Sports Nutrition,hormone-support,2,capsule,45
ab085248-f854-4b93-89f1-574467e8153e,Advanced Vitamin B Complex,Supplement Needs,vitamin,1,tablet,120
abffbfcd-c048-4c70-9cb9-50798fd97d9f,One Stop Xtreme,Reflex Nutrition,post-workout,145,scoop,30
adaa37c1-d577-4dd4-bed6-c1165f7fc31f,Electrolytes,Darkstims,hydration,6.5,serving,30
b752e616-1a03-4e48-8767-602ec3957cb3,Pre JYM,JYM Supplement Science,pre-workout,null,scoop,30
b9058eef-f71a-49f7-9672-a264d1a09614,Whey Protein,Warrior,whey,30,g,16
b97c46b1-5a5a-4a43-ab70-e27ab14d1e1c,Complete EAA,Bulk,eaas,15,scoop,30
b9d40664-1e1f-4488-8fec-9e053aafcccb,Essential Amino Energy,Optimum Nutrition,eaas,9,scoop,30
ba7dbeae-efd5-4edd-bde7-a75a221aa83e,Prebiotic Inulin Fibre Powder,MyProtein,gut-digestion,12,g,30
bb1576f2-90e5-4801-b8ab-33e7c9233d03,Whey Isolate,Supplement Needs,whey-isolate,30,scoop,33
be251f51-6584-43fe-b9e8-9c7c80bb0d19,Creapure Creatine,MyProtein,creatine,3.4,g,147
c0f8dde0-6555-4449-9877-3c7ccd410339,ABE (All Black Everything),Applied Nutrition,pre-workout,12.5,g,30
c2293c0e-55ad-43e0-94e7-395121b711d3,Strawberry Mango BCAA,Grenade,eaas,13,scoop,30
c3bc42b5-d5c0-404a-8805-7781ad4605fd,Multi Vitamin and Mineral PRO,Supplement Needs,vitamin,1,capsule,30
c44236d9-b790-4d5f-8f07-ec57eeee5b9c,Impact Hydration,MyProtein,hydration,6.8,serving,30
